loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Personal Wash,Soap,100048765,Santoor Sandal & Turmeric/Orange Soap 4 X 100 gm Multi Pk,106.4237,8,8,0,121,,ACTIVE,NRTV,1,1,106.4237,2023-03-13,Personal Wash
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Insecticide / Repellant,Crawl Insecticide / Repellant,100031015,Hit Spray CIK Champion 200 Ml Can,75.3732,15,15,0,121,,ACTIVE,NRTV,1,1,75.3732,2023-03-13,Insecticide / Repellant
SM Vijayawada NBS Ongole,Vijayawada,Staples,Edible Oil & Ghee,Ghee,Ghee,100078245,Durga Ghee 200 Ml Poly Pk,125.8129,11,11,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Ghee
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Insecticide / Repellant,Fly Insecticide / Repellant,100030493,Hit Spray FIK 625 ml Can,224.5795,11,11,0,121,,ACTIVE,NRTV,9,9,2021.2155,2023-03-13,Insecticide / Repellant
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Spices,100078145,More. Choice Shah Jeera 20 gm,13.03,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Skin Care,Face Care,100061365,Dabur Gulabari Facial Cleanser 100 Ml Spray,68.6695,6,6,0,121,,ACTIVE,NRTV,6,6,412.017,2023-03-13,Skin Care
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Home Upkeep,Dustbin,100092141,Garbage Bucket Round 10 ltr,133,,,0,121,,ACTIVE,NRTV,2,2,266,2023-03-13,Home Upkeep
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Beverages,Concentrated Drink,Concentrated liquid,100168855,Feasters Squash Orange 700 ml Pet Bottle,51.8001,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Concentrated Drink
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Home Care,Housekeeping,Disinfectant & Multi-purpose,100521352,Harpic Sanitiser Spray 90ml,162.3268,3,3,0,121,,ACTIVE,NRTV,4,4,649.3072,2023-03-13,Housekeeping
SM Vijayawada NBS Ongole,Vijayawada,Staples,Edible Oil & Ghee,Edible Oil,Popular Oil,100077952,Vijaya Refined Sunflower Oil 1 Ltr Poly Pk,95.24,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Edible Oil
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Hair Care,Shampoo,100100961,Sunsilk Stunning Black Shine Shampoo 650 Ml Bottle.,162.6462,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Hair Care
